Name,BSE Code,NSE Code,ISIN Code,Sector,Industry Group,Industry
20 Microns,533022,20MICRONS,INE144J01027,Metals & Mining,Minerals & Mining,Industrial Minerals
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Financial Services,Capital Markets,Other Capital Market related Services
360 ONE,542772,360ONE,INE466L01038,Financial Services,Capital Markets,Stockbroking & Allied
3B Blackbio,532067,,INE994E01018,Healthcare / Pharma,Healthcare Services,Healthcare Service Provider
3B Films,544412,,INE0TE101010,Industrials,Industrial Products,Packaging
3C IT Solutions,544190,,INE0R7D01018,Information Technology,IT - Services,IT Enabled Services
3i Infotech,532628,3IINFOLTD,INE748C01038,Information Technology,IT - Software,Computers - Software & Consulting
3M India,523395,3MINDIA,INE470A01017,Miscellaneous,Diversified,Diversified
3P Land Hold.,516092,3PLAND,INE105C01023,Financial Services,Finance,Investment Company
52 Weeks Enter.,531925,,INE545N01019,FMCG / Consumer Staples,Food Products,Packaged Foods
5paisa Capital,540776,5PAISA,INE618L01018,Financial Services,Capital Markets,Stockbroking & Allied
63 Moons Tech.,526881,63MOONS,INE111B01023,Information Technology,IT - Software,Computers - Software & Consulting
7NR Retail Ltd,540615,,INE413X01035,Consumer Durables & Retail,Retailing,Speciality Retail
7Seas Enter.,540874,,INE454F01010,Media & Entertainment,Entertainment,Digital Entertainment
A B B,500002,ABB,INE117A01022,Industrials,Electrical Equipment,Heavy Electrical Equipment
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction & Infrastructure,Construction,Civil Construction
A B Lifestyle,544403,ABLBL,INE14LE01019,Consumer Durables & Retail,Retailing,Speciality Retail
A B M Internatl.,,ABMINTLLTD,INE251C01025,Industrials,Commercial Services & Supplies,Trading & Distributors
A B Real Estate,500040,ABREL,INE055A01016,Materials,"Paper, Forest & Jute Products",Paper & Paper Products
A F Enterprises,538351,,INE663P01015,Industrials,Commercial Services & Supplies,Trading & Distributors
A G Universal,,AGUL,INE0O6N01012,Industrials,Industrial Products,Iron & Steel Products
A-1,542012,,INE911Z01025,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
A.K.Capital Serv,530499,,INE701G01012,Financial Services,Finance,Non Banking Financial Company (NBFC)
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction & Infrastructure,Construction,Civil Construction
AA Plus Trade,543319,,INE0C5901022,Industrials,Commercial Services & Supplies,Trading & Distributors
AAA Technologies,543671,AAATECH,INE0D0U01013,Industrials,Commercial Services & Supplies,Consulting Services
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Financial Services,Finance,Housing Finance Company
Aadi Industries,530027,,INE563D01013,Chemicals,Chemicals & Petrochemicals,Petrochemicals
Aakaar Medical,,AAKAAR,INE1GYP01013,FMCG (Consumer Staples),Personal Products,Personal Care
Aakash Explor.,,AAKASH,INE087Z01024,Energy (Oil & Gas),Oil,Offshore Support Solution Drilling
Aananda Lakshmi,539096,,INE197R01010,Consumer Durables & Retail,Textiles & Apparels,Other Textile Products
Aanchal Ispat,538812,,INE322R01022,Industrials,Industrial Products,Iron & Steel Products
Aar Shyam (I),542377,,INE512R01010,Financial Services,Finance,Non Banking Financial Company (NBFC)
Aaradhya Dis.,,AARADHYA,INE124401014,Materials,"Paper, Forest & Jute Products",Paper & Paper Products
Aarcon Facilitie,532024,,INE056J01015,Financial Services,Finance,Other Financial Services
Aarey Drugs,524412,AAREYDRUGS,INE198H01019,Healthcare / Pharma,Pharmaceuticals & Biotechnology,Pharmaceuticals
Aarnav Fashions,539562,AARNAV,INE750R01016,Consumer Durables & Retail,Textiles & Apparels,Trading - Textile Products
Aaron Industries,,AARON,INE721Z01010,Industrials,Industrial Manufacturing,Industrial Products
Aartech Solonics,542580,AARTECH,INE01C001026,Industrials,Electrical Equipment,Heavy Electrical Equipment
