NEWSID,SCRIP_CD,XML_NAME,NEWSSUB,DT_TM,NEWS_DT,CRITICALNEWS,ANNOUNCEMENT_TYPE,QUARTER_ID,FILESTATUS,ATTACHMENTNAME,MORE,HEADLINE,CATEGORYNAME,OLD,RN,PDFFLAG,NSURL,SLONGNAME,AGENDA_ID,TotalPageCnt,News_submission_dt,DissemDT,TimeDiff,Fld_Attachsize,SUBCATNAME,AUDIO_VIDEO_FILE
e8658bdb-d479-47af-8794-0a7cc6e20878,505533,ANN_505533_E8658BDB-D479-47AF-8794-0A7CC6E20878,Westlife Foodworld Ltd - 505533 - Board Meeting Outcome for Outcome Of Board Meeting Held On 7Th May 2026,2026-05-07T15:29:44.683,2026-05-07T15:29:44.683,0,A,,N    ,1f0a660e-64c2-4794-b6b5-8c1b0f9d6b5f.pdf,,"Outcome of Board Meeting - Audited Financial Results for the quarter and financial year ended 31st March, 2026",Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/westlife-foodworld-ltd/westlife/505533/,Westlife Foodworld Ltd,198,2,2026-05-07T15:29:40,2026-05-07T15:29:44.683,00:00:04,8966933,Outcome of Board Meeting,
60b60614-698d-4193-9ee2-cadd527c6cbf,533122,ANN_533122_60B60614-698D-4193-9EE2-CADD527C6CBF,"RattanIndia Power Ltd - 533122 - Board Meeting Outcome for Audited Financial Results For The Quarter And Financial Year Ended On March 31, 2026",2026-05-07T15:23:33.103,2026-05-07T15:23:33.103,0,A,,N    ,03e5e85b-b1b2-41d0-b26d-d3cda2f8efee.pdf,,"Audited financial results for the quarter and financial year ended on March 31, 2026",Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/rattanindia-power-ltd/rtnpower/533122/,RattanIndia Power Ltd,198,2,2026-05-07T15:23:25,2026-05-07T15:23:33.103,00:00:08,16401096,Outcome of Board Meeting,
ccd9bb37-0b9b-4bd2-8940-a34dd6f5565a,531496,ANN_531496_CCD9BB37-0B9B-4BD2-8940-A34DD6F5565A,Omkar Overseas Ltd - 531496 - Board Meeting Outcome for Outcome Of Board Meeting For Approval Of Audited Financial Results For The Quarter And Year Ended 31St March 2026.,2026-05-07T15:21:23.3,2026-05-07T15:21:23.3,0,A,,N    ,38fad109-81af-40a7-ac7f-a797e5d612a6.pdf,,Board Meeting outcome for approval of audited Financial Results for the quarter and year ended 31st March 2026,Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/omkar-overseas-ltd/omkar/531496/,Omkar Overseas Ltd,198,2,2026-05-07T15:21:17,2026-05-07T15:21:23.3,00:00:06,1681249,Outcome of Board Meeting,
eae4d07f-29a6-495f-8ea1-da3941cefd17,533170,ANN_533170_EAE4D07F-29A6-495F-8EA1-DA3941CEFD17,"Tamboli Industries Ltd - 533170 - Board Meeting Outcome for Approved Audited Financial Results For January-March 2026(Q4) And Financial Year Ended 31.03.2026, Recommendation Of Dividend For F.Y. 2025-2026 And Re-Appointment Of Mr. Vipul H. Pathak As Whole Time Director And CFO For A Period Of 3 Years.",2026-05-07T15:03:40.49,2026-05-07T15:03:40.49,0,A,,N    ,ce86fd1f-964e-42a7-885c-8937a70e0756.pdf,"Approved Audited Financial Results for January-March 2026(Q4) and Financial Year ended 31.03.2026, Recommendation of Dividend for F.Y. 2025-2026 and Re-appointment of Mr. Vipul H. Pathak as Whole Time Director and CFO for a period of 3 years.","Approved Audited Financial Results for January-March 2026(Q4) and Financial Year ended 31.03.2026, Recommendation of Dividend for F.Y. 2025-2026 and Re-appointment of Mr. Vipul H. Pathak ....",Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/tamboli-industries-ltd/tamboliin/533170/,Tamboli Industries Ltd,198,2,2026-05-07T15:03:37,2026-05-07T15:03:40.49,00:00:03,1613226,Outcome of Board Meeting,
5a8592b3-5bc6-472a-8693-19833285c777,523850,ANN_523850_5A8592B3-5BC6-472A-8693-19833285C777,Axtel Industries Ltd - 523850 - Board Meeting Outcome for Audited Financial Results For The Quarter/Year Ended On 31.03.2026,2026-05-07T14:53:13.14,2026-05-07T14:53:13.14,0,A,,N    ,20b098d9-2956-4727-8caa-34fde74de0b3.pdf,,We herewith submit financial results along with auditors report and declaration signed by Whole-time Director for unmodified opinion for the financial year 2025-26.,Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/axtel-industries-ltd/axtel/523850/,Axtel Industries Ltd,198,2,2026-05-07T14:53:11,2026-05-07T14:53:13.14,00:00:02,3000242,Outcome of Board Meeting,
90d2d457-47ca-41f6-9513-620002c45574,500490,ANN_500490_90D2D457-47CA-41F6-9513-620002C45574,Bajaj Holdings & Investment Ltd - 500490 - Board Meeting Outcome for Outcome Of The Board Meeting Held On 7 May 2026,2026-05-07T14:36:46.18,2026-05-07T14:36:46.18,0,A,,N    ,cac3dc7a-b0b2-4cc6-b97d-87cafcf2873f.pdf,"We hereby submit the Audited Standalone and Consolidated Financial Results for the year ended 31 March 2026 along with Audit Report, intimation regarding recommendation of final dividend at the rate of Rs. 130 each, date of Annual General Meeting and reappointment of Dr. Arindam Bhattacharya as a Non-Executive, Independent Director of the Company for second term of five consecutive years.","We hereby submit the Audited Standalone and Consolidated Financial Results for the year ended 31 March 2026 along with Audit Report, intimation regarding recommendation of final dividend ....",Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/bajaj-holdings--investment-ltd/bajajhldng/500490/,Bajaj Holdings & Investment Ltd,198,2,2026-05-07T14:36:38,2026-05-07T14:36:46.18,00:00:08,14996356,Outcome of Board Meeting,
c60508e8-6257-4403-87f9-30fb87f6f50b,544662,ANN_544662_C60508E8-6257-4403-87F9-30FB87F6F50B,"Simandhar Impex Ltd - 544662 - Board Meeting Outcome for Outcome Of Board Meeting Held On 7Th May, 2026",2026-05-07T14:26:47.81,2026-05-07T14:26:47.81,0,A,,N    ,fdf19740-d2d2-4432-8f9d-55be22c70f8e.pdf,"Outcome of Board Meeting held on 7th May, 2026 for have considered and approved Statement of Audited Standalone Financial Results of the Company for the Quarter and Year ended 31st March, 2026 along with the statement of Standalone Assets and Liabilities and Standalone Cash Flow Statement as at 31st March, 2026.","Outcome of Board Meeting held on 7th May, 2026 for have considered and approved Statement of Audited Standalone Financial Results of the Company for the Quarter and Year ended 31st March, ....",Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/simandhar-impex-ltd/simandhar/544662/,Simandhar Impex Ltd,198,2,2026-05-07T14:26:44,2026-05-07T14:26:47.81,00:00:03,3892520,Outcome of Board Meeting,
644b5efb-986d-4d03-bfbe-6a6c1a01f28b,506395,ANN_506395_644B5EFB-986D-4D03-BFBE-6A6C1A01F28B,"Coromandel International Ltd - 506395 - Board Meeting Outcome for  Board Meeting Outcome For Outcome Of The Board Meeting - Intimation About The Audited Financial Results For The Quarter And Year Ended March 31, 2026 And Declaration Of Final Dividend For The Financial Year 2025-26 And Disclosures Under Regulation 30",2026-05-07T13:58:18.703,2026-05-07T13:58:18.703,0,A,,N    ,dd6bb2bb-2d26-45fc-9601-c8c441639948.pdf,,"Outcome of the Board meeting held on May 7, 2026",Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/coromandel-international-ltd/coromandel/506395/,Coromandel International Ltd,198,1,2026-05-07T13:58:12,2026-05-07T13:58:18.703,00:00:06,8675411,Outcome of Board Meeting,
d9c56601-6476-45ad-92a0-ac674428c2cc,533110,ANN_533110_D9C56601-6476-45AD-92A0-AC674428C2CC,"Shree Precoated Steels Ltd - 533110 - Board Meeting Outcome for Board Meeting Outcome For The Audited Financial Results For The Quarter And Financial Year Ended March 31, 2026",2026-05-07T13:27:54.577,2026-05-07T13:27:54.577,0,A,,N    ,26c7799b-9ffb-46d0-8dc2-0b6e593344a1.pdf,,"Audited Financial Results for the Quarter and Financial year ended March 31, 2026.",Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/shree-precoated-steels-ltd/spsl/533110/,Shree Precoated Steels Ltd,198,1,2026-05-07T13:27:51,2026-05-07T13:27:54.577,00:00:03,7335813,Outcome of Board Meeting,
3089c73a-c095-4f60-a3c8-f22c7eb60c2a,544301,ANN_544301_3089C73A-C095-4F60-A3C8-F22C7EB60C2A,"Odigma Consultancy Solutions Ltd - 544301 - Board Meeting Outcome for For Audited (Standalone) Financial Results For The Quarter And Year Ended March 31, 2026",2026-05-07T13:20:52.377,2026-05-07T13:20:52.377,0,A,,N    ,9a548bf8-a572-451a-bfba-c2ea4de17426.pdf,,"Outcome of Board Meeting for Audited (Standalone) Financial Results for the quarter and year ended March 31, 2026.",Board Meeting,1,1,0,https://www.bseindia.com/stock-share-price/odigma-consultancy-solutions-ltd/odigma/544301/,Odigma Consultancy Solutions Ltd,198,1,2026-05-07T13:20:49,2026-05-07T13:20:52.377,00:00:03,8484061,Outcome of Board Meeting,
