NEWSID,SCRIP_CD,XML_NAME,NEWSSUB,DT_TM,NEWS_DT,CRITICALNEWS,ANNOUNCEMENT_TYPE,QUARTER_ID,FILESTATUS,ATTACHMENTNAME,MORE,HEADLINE,CATEGORYNAME,OLD,RN,PDFFLAG,NSURL,SLONGNAME,AGENDA_ID,TotalPageCnt,News_submission_dt,DissemDT,TimeDiff,Fld_Attachsize,SUBCATNAME,AUDIO_VIDEO_FILE
562072bb-ac2d-4a5c-9bf2-7eb1574148b9,539978,ANN_539978_562072BB-AC2D-4A5C-9BF2-7EB1574148B9,"Quess Corp Ltd - 539978 - Financial Results For The Quarter And Financial Year Ended March 31, 2026.",2026-05-04T23:08:47.253,2026-05-04T23:08:47.253,0,A,,N    ,32f9443d-dd08-48da-a6ef-4a0ef1cd5320.pdf,,"Financial Results for the quarter and financial year ended March 31, 2026.",Result,1,1,0,https://www.bseindia.com/stock-share-price/quess-corp-ltd/quess/539978/,Quess Corp Ltd,30,1,2026-05-04T23:08:47,2026-05-04T23:08:47.253,00:00:00,12610686,Financial Results,
01102e14-d242-45c9-9050-eebee5d8d428,532627,ANN_532627_01102E14-D242-45C9-9050-EEBEE5D8D428,Jaiprakash Power Ventures Ltd - 532627 - Audited Financial Results For The Quarter And Financial Year Ended On 31St March 2026 Together With Modified Audit Report And Statement Of Impact,2026-05-04T20:39:17.92,2026-05-04T20:39:17.92,0,A,,N    ,1e8279b9-a2db-4fe6-a10e-8fb1a0f304d9.pdf,,Audited Finacial Results for the quarter and financial year ended on 31st march 2026 together with modified auditors report and statement of impact.,Result,1,1,0,https://www.bseindia.com/stock-share-price/jaiprakash-power-ventures-ltd/jppower/532627/,Jaiprakash Power Ventures Ltd,30,1,2026-05-04T20:39:17,2026-05-04T20:39:17.92,00:00:00,2795521,Financial Results,
2ed475d2-ec3b-41e7-bf57-a8f3d0a4b5e3,505827,ANN_505827_2ED475D2-EC3B-41E7-BF57-A8F3D0A4B5E3,SNL Bearings Ltd - 505827 - Disclosure Of Financial Result For Year Ended 31.03.2026,2026-05-04T20:36:33.737,2026-05-04T20:36:33.737,0,A,,N    ,a3ccedf3-13a1-4c6e-ab74-41ec4edb7cf2.pdf,,Disclosure of Financial Result for year ended 31.03.2026,Result,1,1,0,https://www.bseindia.com/stock-share-price/snl-bearings-ltd/snl/505827/,SNL Bearings Ltd,30,1,2026-05-04T20:36:33,2026-05-04T20:36:33.737,00:00:00,1263142,Financial Results,
eabfc355-f9cf-4685-8f78-62040bb54c9b,542773,ANN_542773_EABFC355-F9CF-4685-8F78-62040BB54C9B,"IIFL Capital Services Ltd - 542773 - Financial Results For The Quarter And Financial Year Ended March 31, 2026",2026-05-04T20:32:46.563,2026-05-04T20:32:46.563,0,A,,N    ,cc68ab14-c3e5-4b97-b256-3cccd6350dfa.pdf,,"Financial Results for the quarter and financial year ended March 31, 2026",Result,1,1,0,https://www.bseindia.com/stock-share-price/iifl-capital-services-ltd/iiflcaps/542773/,IIFL Capital Services Ltd,30,1,2026-05-04T20:32:46,2026-05-04T20:32:46.563,00:00:00,8209413,Financial Results,
ae491a50-668e-44a5-8b08-055e7d75c02a,543986,ANN_543986_AE491A50-668E-44A5-8B08-055E7D75C02A,South West Pinnacle Exploration Ltd - 543986 - FINANCIAL RESULTS,2026-05-04T19:55:33.917,2026-05-04T19:55:33.917,0,A,,N    ,186fda07-022e-4948-95de-d015b8a9902a.pdf,,"Financial Results for the quarter and year ended on March 31, 2026",Result,1,1,0,https://www.bseindia.com/stock-share-price/south-west-pinnacle-exploration-ltd/southwest/543986/,South West Pinnacle Exploration Ltd,30,1,2026-05-04T19:55:33,2026-05-04T19:55:33.917,00:00:00,6183492,Financial Results,
943c7723-dc20-4961-a72b-61cf943d8a47,544387,ANN_544387_943C7723-DC20-4961-A72B-61CF943D8A47,Desco Infratech Ltd - 544387 - Financial Results,2026-05-04T19:19:31.173,2026-05-04T19:19:31.173,0,A,,N    ,332f23eb-2bcf-4a94-a3a1-ed56c147a993.pdf,,As attached,Result,1,1,0,https://www.bseindia.com/stock-share-price/desco-infratech-ltd/desco/544387/,Desco Infratech Ltd,30,1,2026-05-04T19:19:31,2026-05-04T19:19:31.173,00:00:00,6644824,Financial Results,
0d656041-f886-4f8d-ad07-70ea96c8449c,532323,ANN_532323_0D656041-F886-4F8D-AD07-70EA96C8449C,"Shiva Cement Ltd - 532323 - Audited Standalone Financial Results Of Shiva Cement Limited For The Quarter And Year Ended 31St March, 2026.",2026-05-04T19:18:40.183,2026-05-04T19:18:40.183,0,A,,N    ,71a4e3c1-3b86-4902-8158-4d1cdb8c330d.pdf,,"Audited Standalone Financial results of Shiva Cement Limited for the Quarter and Year ended 31st March, 2026.",Result,1,1,0,https://www.bseindia.com/stock-share-price/shiva-cement-ltd/shivacem/532323/,Shiva Cement Ltd,30,1,2026-05-04T19:18:40,2026-05-04T19:18:40.183,00:00:00,2765749,Financial Results,
4ddc67e9-b94d-4ba6-93a0-d299afc03868,543232,ANN_543232_4DDC67E9-B94D-4BA6-93A0-D299AFC03868,Computer Age Management Services Ltd - 543232 - Audited Standalone And Consolidated Financial Results For The Quarter And Year Ended 31St March 2026,2026-05-04T19:09:06.717,2026-05-04T19:09:06.717,0,A,,N    ,ffc2d829-fa9e-495f-b890-7bd53e1ac69a.pdf,,Audited Standalone and Consolidated Financial Results for the quarter and year ended 31st March 2026,Result,1,1,0,https://www.bseindia.com/stock-share-price/computer-age-management-services-ltd/cams/543232/,Computer Age Management Services Ltd,30,1,2026-05-04T19:09:06,2026-05-04T19:09:06.717,00:00:00,2438228,Financial Results,
a4d20f84-febb-47cd-ad8c-5832da4dd9b4,543269,ANN_543269_A4D20F84-FEBB-47CD-AD8C-5832DA4DD9B4,"Adjia Technologies Ltd - 543269 - Considered And Approved The Audited Standalone Financial Results Of The Company For The Half Year And Year Ended On March 31, 2026 As Reviewed And Recommended By The Audit Committee",2026-05-04T19:04:56.33,2026-05-04T19:04:56.33,0,A,,N    ,e62e8e7d-557e-4d32-ac46-23908f508b28.pdf,,"Considered and Approved the Audited Financial Result for the half year and year ended on 31st March, 2026",Result,1,1,0,https://www.bseindia.com/stock-share-price/adjia-technologies-ltd/adjia/543269/,Adjia Technologies Ltd,30,1,2026-05-04T19:04:56,2026-05-04T19:04:56.33,00:00:00,2659829,Financial Results,
9d288f58-2cd7-4bde-83fb-7ff90ed690ff,590031,ANN_590031_9D288F58-2CD7-4BDE-83FB-7FF90ED690FF,"De Nora India Ltd - 590031 - Outcome Of Board Meeting Held On May 4, 2026.",2026-05-04T18:11:35.18,2026-05-04T18:11:35.18,0,A,,N    ,539e9ce1-350e-441f-a00b-498b1bd8662d.pdf,,"Outcome of Board Meeting held on May 4, 2026.",Result,1,1,0,https://www.bseindia.com/stock-share-price/de-nora-india-ltd/denora/590031/,De Nora India Ltd,30,1,2026-05-04T18:11:35,2026-05-04T18:11:35.18,00:00:00,1811667,Financial Results,
