symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference,fileSize
GABRIEL,Analysts/Institutional Investor Meet/Con. Call Updates,04072025222949,https://nsearchives.nseindia.com/corporate/GABRIEL_04072025222937_SEIntimationwrittentranscriptsigned.pdf,Gabriel India Limited,INE524A01029,04-Jul-2025 22:29:49,2025-07-04 22:29:49,106290503,Auto Ancillaries,nan,Gabriel India Limited has informed the Exchange about Transcript,nan,nan,nan,04-Jul-2025 22:29:50,00:00:01,224 KB
NLCINDIA,Change in Management,04072025222659,https://nsearchives.nseindia.com/corporate/NLCINDIA_04072025222549_SEIntimation-EDAppt04072025.pdf,NLC India Limited,INE589A01014,04-Jul-2025 22:26:59,2025-07-04 22:26:59,106290502,nan,nan,NLC India Limited has informed the Exchange about change in Management,nan,nan,nan,04-Jul-2025 22:27:01,00:00:02,2.44 MB
PEL,Shareholders meeting,04072025220233,https://nsearchives.nseindia.com/corporate/PEL_04072025220224_SE_Intimation_Proceedings_PEL_Secured_Creditors_signed.pdf,Piramal Enterprises Limited,INE140A01024,04-Jul-2025 22:02:33,2025-07-04 22:02:33,106290426,Pharmaceuticals,nan,"Piramal Enterprises Limited has informed the Exchange regarding Proceedings of secured creditors NCLT Convened Meeting held on July 04, 2025.",nan,nan,nan,04-Jul-2025 22:02:34,00:00:01,213 KB
CRISIL,Shareholders meeting,04072025215647,https://nsearchives.nseindia.com/corporate/CRISIL_04072025215626_SignedBSENSE1.pdf,CRISIL Limited,INE007A01017,04-Jul-2025 21:56:47,2025-07-04 21:56:47,106290425,Finance,nan,"CRISIL Limited has informed the Exchange regarding Proceedings of Postal Ballot. Further, the company has submitted the Exchange a copy of Srutinizers report along with voting results.",nan,nan,nan,04-Jul-2025 21:56:47,00:00:00,1.21 MB
PEL,Shareholders meeting,04072025215140,https://nsearchives.nseindia.com/corporate/PEL_04072025215050_SE_Summary_of_proceedings_040725_signed.pdf,Piramal Enterprises Limited,INE140A01024,04-Jul-2025 21:51:40,2025-07-04 21:51:40,106290424,Pharmaceuticals,nan,"Piramal Enterprises Limited has informed the Exchange regarding Proceedings of the Equity shareholders Court Convened General Meeting held on July 04, 2025.",nan,nan,nan,04-Jul-2025 21:51:41,00:00:01,497 KB
PCBL,Updates,04072025214313,https://nsearchives.nseindia.com/corporate/PCBL_04072025213828_IntimationonCDPRatingbyPCBL_Chemical_Limited.pdf,PCBL Chemical Limited,INE602A01023,04-Jul-2025 21:43:13,2025-07-04 21:43:13,106290423,nan,nan,PCBL Chemical Limited Awarded  A  Rating in CDP s Supplier Engagement Assessment (SEA) for the 2024 disclosure cycle.,nan,nan,nan,04-Jul-2025 21:43:14,00:00:01,435 KB
ORIENTALTL,Press Release,04072025214248,https://nsearchives.nseindia.com/corporate/ORIENTALTL_04072025214235_OTL_Press_Release.pdf,Oriental Trimex Limited,INE998H01012,04-Jul-2025 21:42:48,2025-07-04 21:42:48,106290422,Construction,nan,"Oriental Trimex Limited has informed the Exchange regarding a press release dated July 04, 2025, titled ""Business Update"".",nan,nan,nan,04-Jul-2025 21:42:49,00:00:01,2.55 MB
RPPL,Capacity addition,04072025214206,https://nsearchives.nseindia.com/corporate/RPPL_04072025214157_Reg30RPPLOrderNSE.pdf,Rajshree Polypack Limited,INE760W01015,04-Jul-2025 21:42:06,2025-07-04 21:42:06,106290421,nan,nan,Rajshree Polypack Limited has informed the Exchange about Capacity addition,nan,nan,nan,04-Jul-2025 21:42:07,00:00:01,502 KB
MADHAV,Shareholders meeting,04072025213418,https://nsearchives.nseindia.com/corporate/MADHAV_04072025213406_Proceedings_July_2025.pdf,Madhav Marbles and Granites Limited,INE925C01016,04-Jul-2025 21:34:18,2025-07-04 21:34:18,106290420,Construction,nan,"Madhav Marbles and Granites Limited has informed the Exchange regarding Proceedings of Extraordinary General Meeting held on July 04, 2025",nan,nan,nan,04-Jul-2025 21:34:18,00:00:00,515 KB
JKPAPER,Spurt in Volume,04072025213216,https://nsearchives.nseindia.com/corporate/JKPAPER_04072025213052_NSE_clarification_04072025_.pdf,JK Paper Limited,INE789E01012,04-Jul-2025 21:32:16,2025-07-04 21:32:16,106290419,Paper And Paper Products,nan,"Significant increase in volume has been observed in JK Paper Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, had written to the company. JK Paper Limited has submitted their response.",nan,nan,nan,04-Jul-2025 21:32:17,00:00:01,298 KB
