symbol,desc,dt,attchmntFile,sm_name,sm_isin,an_dt,sort_date,seq_id,smIndustry,orgid,attchmntText,bflag,old_new,csvName,exchdisstime,difference
BHALCHANDR,Trading Window,28-Mar-2025 11:10:31,https://nsearchives.nseindia.com/corporate/BHALCHANDR_28032025111022_Closure.pdf,Bhalchandram Clothing Limited,nan,28-Mar-2025 11:10:31,2025-03-28 11:10:31,nan,nan,nan,"Bhalchandram Clothing Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",nan,nan,nan,28-Mar-2025 11:10:32,00:00:01
BHALCHANDR,Trading Window-XBRL,27-Mar-2025 12:47:45,https://nsearchives.nseindia.com/corporate/xbrl/CLOSURE_TRADING_WINDOW_1403200_27032025124744_WEB.xml,Bhalchandram Clothing Limited,nan,27-Mar-2025 12:47:45,2025-03-27 12:47:45,nan,nan,nan,BHALCHANDRAM CLOTHING LIMITED has informed the Exchange about Closure of Trading Window,nan,nan,nan,27-Mar-2025 12:47:46,00:00:01
BHALCHANDR,Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,12-Feb-2025 21:03:47,https://nsearchives.nseindia.com/corporate/xbrl/CIM_47455_1380847_12022025090346_WEB.xml,Bhalchandram Clothing Limited,nan,12-Feb-2025 21:03:47,2025-02-12 21:03:47,nan,nan,nan,BHALCHANDRAM CLOTHING LIMITED has informed the Exchange about Change in Directors/ Key Managerial Personnel/ Auditor/ Compliance Officer/ Share Transfer Agent,nan,nan,nan,12-Feb-2025 21:03:48,00:00:01
BHALCHANDR,Shareholders meeting,12-Feb-2025 20:50:03,https://nsearchives.nseindia.com/corporate/BHALCHANDR_12022025204725_scrunitizerreport.pdf,Bhalchandram Clothing Limited,nan,12-Feb-2025 20:50:03,2025-02-12 20:50:03,nan,nan,nan,"Bhalchandram Clothing Limited has submitted the Exchange a copy Srutinizers report of  Extraordinary General Meeting held on February 11, 2025",nan,nan,nan,12-Feb-2025 20:50:05,00:00:02
BHALCHANDR,Cessation,12-Feb-2025 20:11:13,https://nsearchives.nseindia.com/corporate/BHALCHANDR_12022025200933_Intimation_Signed.pdf,Bhalchandram Clothing Limited,nan,12-Feb-2025 20:11:13,2025-02-12 20:11:13,nan,nan,nan,"Bhalchandram Clothing Limited has informed the Exchange regarding Cessation of Mr Prakash Ramchandra Bang as Non- Executive Independent Director of the company w.e.f. February 11, 2025.",nan,nan,nan,12-Feb-2025 20:11:14,00:00:01
BHALCHANDR,Cessation,12-Feb-2025 20:11:13,https://nsearchives.nseindia.com/corporate/BHALCHANDR_12022025200946_Intimation_Signed.pdf,Bhalchandram Clothing Limited,nan,12-Feb-2025 20:11:13,2025-02-12 20:11:13,nan,nan,nan,"Bhalchandram Clothing Limited has informed the Exchange regarding Cessation of  Prakash Ramchandra Bang as Non- Executive Independent Director of the company w.e.f. February 11, 2025.",nan,nan,nan,12-Feb-2025 20:11:14,00:00:01
BDR,Integrated Filing- Governance,12-Feb-2025 11:12:12,https://nsearchives.nseindia.com/corporate/BDR01_12022025111127_IG_Report_IMG_0001_merged__1_.pdf,BDR Buildcon Limited,nan,12-Feb-2025 11:12:12,2025-02-12 11:12:12,nan,nan,nan,Integrated Filing- Governance,nan,nan,nan,12-Feb-2025 11:12:13,00:00:01
JEYYAM,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",09-Apr-2025 12:46:13,https://nsearchives.nseindia.com/corporate/JEYYAMGLOBAL_09042025124515_Jeyyam_74_5__RTA_certificate_signed.pdf,Jeyyam Global Foods Limited,nan,09-Apr-2025 12:46:13,2025-04-09 12:46:13,nan,nan,nan,"Jeyyam Global Foods Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for quarter ending March 31 2025",nan,nan,nan,09-Apr-2025 12:46:13,00:00:00
KRISHNADEF,Acquisition-XBRL,09-Apr-2025 12:42:19,https://nsearchives.nseindia.com/corporate/xbrl/REG30_Restructuring_1410643_09042025124218_WEB.xml,Krishna Defence and Allied Industries Limited,nan,09-Apr-2025 12:42:19,2025-04-09 12:42:19,nan,nan,nan,KRISHNA DEFENCE AND ALLIED INDUSTRIES LIMITED has informed the Exchange regarding Acquisition,nan,nan,nan,09-Apr-2025 12:42:20,00:00:01
MEGAFLEX,Disclosure under SEBI Takeover Regulations,09-Apr-2025 12:39:26,https://nsearchives.nseindia.com/corporate/team_sandeshc_04042025120015_Annual2.PDF,Mega Flex Plastics Limited,nan,09-Apr-2025 12:39:26,2025-04-09 12:39:26,nan,nan,nan,"Mega Flex Plastics Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",nan,nan,nan,09-Apr-2025 12:39:27,00:00:01
VMARCIND,Disclosure under SEBI Takeover Regulations,09-Apr-2025 12:31:04,https://nsearchives.nseindia.com/corporate/team_sandeshc_04042025110841_VIL.pdf,V Marc India Limited,nan,09-Apr-2025 12:31:04,2025-04-09 12:31:04,nan,nan,nan,"V Marc India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",nan,nan,nan,09-Apr-2025 12:31:04,00:00:00
