stock_id,stock_symbol,company_name,exchange
1562,360ONE,360 ONE WAM Limited,NSE
2542,500040,Aditya Birla Real Estate Limited,BSE
821,500067,BLUE STAR LIMITED,BSE
3206,500084,CESC Limited,BSE
2534,500086,Exide Industries Limited,BSE
2096,500093,CG Power and Industrial Solutions Limited,BSE
3042,500097,Dalmia Bharat Sugar and Industries Limited,BSE
2540,500103,Bharat Heavy Electricals Limited,BSE
96,500117,DCW LIMITED,BSE
2310,500165,Kansai Nerolac Paints Limited,BSE
2820,500171,GHCL Limited,BSE
1075,500182,Hero MotoCorp Limited,BSE
2530,500250,L.G. BALAKRISHNAN & BROS LIMITED,BSE
2834,500264,Mafatlal Industries Limited,BSE
2536,500314,Oriental Hotels Limited,BSE
2828,500330,Raymond Limited,BSE
1903,500350,RSWM Limited,BSE
1961,500387,SHREE CEMENT LIMITED,BSE
2832,500422,Transchem Limited,BSE
1093,500425,Ambuja Cements Limited,BSE
2418,500510,Larsen & Toubro,BSE
1131,500520,Mahindra & Mahindra Ltd.,BSE
3108,500655,Garware Hi-Tech Films Limited,BSE
2531,500770,Tata Chemicals Limited,BSE
3040,501151,KARTIK INVESTMENTS TRUST LIMITED,BSE
108,501455,Greaves Cotton Limited,BSE
144,503806,SRF Limited,BSE
2389,504092,Indokem Limited,BSE
2819,505036,Automobile Corporation of Goa Limited (ACGL),BSE
569,505693,La Tim Metal & Industries Ltd,BSE
2671,505827,SNL Bearings Limited,BSE
1374,506767,Alkyl Amines Chemicals Limited,BSE
2831,506852,Primo Chemicals Limited,BSE
2532,507948,Key Corporation Ltd,BSE
2532,507948,KEY CORP LIMITED,BSE
2529,512329,SG Mart Limited,BSE
1436,512455,Lloyds Metals and Energy Limited,BSE
2538,513498,SOUTHERN MAGNESIUM AND CHEMICALS LIMITED,BSE
2222,517536,Onward Technologies Ltd,BSE
2537,517569,KEI INDUSTRIES LIMITED,BSE
387,519604,Suryo Foods and Industries Limited,BSE
2882,522034,Shanthi Gears Ltd,BSE
2826,522261,Dolphin Offshore Enterprises (India) Limited,BSE
3041,523160,Foseco Crucible (India) Limited,BSE
3041,523160,Hindustan Aeronautics Limited,BSE
3135,523229,Bharat Seats Ltd-$,BSE
2527,523652,Kkalpana Plastick Ltd.,BSE
51,524000,Poonawalla Fincorp Limited,BSE
374,524208,Aarti Industries Limited,BSE
3111,524394,Vimta Labs Limited,BSE
35,524703,Sandu Pharmaceuticals Limited,BSE
2571,524709,NACL Industries Ltd,BSE
3043,524731,Jenburkt Pharmaceuticals Limited,BSE
2890,526423,KRITI INDUSTRIES (INDIA) LIMITED,BSE
2821,530145,KISAN MOULDINGS LIMITED,BSE
3058,530609,Carnation Industries Ltd,BSE
1810,531201,Shilchar Technologies Ltd,BSE
1810,531201,Shilchar Technologies Limited,BSE
342,531212,NALIN LEASE FINANCE LIMITED,BSE
1811,531213,Manappuram Finance Limited,BSE
2822,531495,Blue Coast Hotels Limited,BSE
692,531642,Marico Limited,BSE
2818,531681,Amerise Biosciences Limited,BSE
2836,531991,Amraworld Agrico Limited,BSE
1471,532209,The Jammu & Kashmir Bank Ltd,BSE
1608,532218,The South Indian Bank Limited,BSE
433,532286,Jindal Steel,BSE
2526,532300,Wockhardt Limited,BSE
2522,532323,Shiva Cement Limited,BSE
2403,532331,Ajanta Pharma Limited,BSE
2835,532354,VIRGO GLOBAL LIMITED,BSE
3202,532400,Birlasoft Limited,BSE
400,532424,Godrej Consumer Products Limited,BSE
1764,532478,United Breweries Limited,BSE
725,532497,Radico Khaitan Limited,BSE
386,532508,Jindal Stainless Limited,BSE
1474,532522,Petronet LNG Limited,BSE
811,532525,Bank of Maharashtra,BSE
1765,532541,Coforge Limited,BSE
2674,532627,Jaiprakash Power Ventures Limited,BSE
2829,532638,Shoppers Stop Limited,BSE
106,532661,Rane (Madras) Limited,BSE
1480,532726,Gallantt Ispat Limited,BSE
1481,532742,PAUSHAK LIMITED,BSE
2823,532757,Voltamp Transformers Limited,BSE
261,532782,Sutlej Textiles and Industries Limited,BSE
550,532809,Firstsource Solutions Limited,BSE
2525,532926,Jyothy Labs Limited,BSE
2307,532974,Aditya Birla Money Ltd.,BSE
3039,533100,Premier Energy and Infrastructure Limited,BSE
2288,533150,Godrej Properties Limited,BSE
3044,533210,KRITI NUTRIENTS LIMITED,BSE
1820,533339,Zen Technologies Limited,BSE
2095,535648,JUST DIAL LTD,BSE
3201,537254,JTL Defence Limited,BSE
2539,537291,Nath Bio-Genes (I) Ltd.,BSE
1621,538212,Sharp Investments Limited,BSE
643,538635,Snowman Logistics Limited,BSE
2605,539228,Gala Global Products Ltd,BSE
2816,539978,Quess Corp Limited,BSE
2824,539992,Lloyds Engineering Works Limited,BSE
795,540133,ICICI Prudential Life Insurance Company Limited,BSE
3155,540189,Unipro Technologies Ltd,BSE
280,540425,Shankara Building Products Ltd,BSE
654,540691,Aditya Birla Capital Ltd,BSE
2773,540728,Sayaji Industries Limited,BSE
257,541799,Sungold Media and Entertainment Limited,BSE
257,541799,Sungold Media and Entertainment Ltd,BSE
2959,541988,AAVAS Financiers Ltd,BSE
2961,542323,KPI Green Energy Limited,BSE
3107,542484,Arvind Fashions Limited,BSE
2622,542651,KPIT Technologies Limited,BSE
3110,542652,Polycab India Limited,BSE
3161,542669,BMW Industries Ltd,BSE
3109,542694,Parshva Enterprises Limited,BSE
2830,542759,Spandana Sphoorty Financial Limited,BSE
2668,542773,IIFL Capital Services Ltd,BSE
274,542867,CSB Bank Limited,BSE
2523,543232,Computer Age Management Services Limited,BSE
2524,543269,Adjia Technologies Limited,BSE
2524,543269,Adjia Technologies Ltd,BSE
1064,543327,Exxaro Tiles Limited,BSE
2274,543334,Nuvoco Vistas Corp. Ltd.,BSE
2825,543387,S.J.S. Enterprises Limited,BSE
2520,543540,Pearl Green Clubs and Resorts Limited,BSE
2520,543540,Pearl Green Clubs and Resorts Ltd,BSE
3077,543543,B-Right Realestate Ltd,BSE
1335,543625,SecUR Credentials Ltd,BSE
1335,543625,SecUR Credentials Limited,BSE
2497,543709,PNGS Gargi Fashion Jewellery Limited,BSE
2841,543920,CFF Fluid Control Ltd,BSE
2841,543920,CFF Fluid Control Limited,BSE
1979,543923,IKIO Technologies Limited,BSE
1510,543972,Aeroflex Industries Limited,BSE
2528,543986,South West Pinnacle Exploration Limited,BSE
1644,544020,ESAF Small Finance Bank,BSE
1644,544020,MOIL LIMITED,BSE
699,544028,Tata Technologies Limited,BSE
2535,544105,Harshdeep Hortico Limited,BSE
2535,544105,Harshdeep Hortico Ltd,BSE
2833,544142,Shipping Corporation of India Land and Assets Limited,BSE
2636,544176,Aadhar Housing Finance Limited,BSE
801,544210,Emcure Pharmaceuticals Ltd.,BSE
1982,544273,Mangalam Global Enterprise Limited,BSE
902,544387,Desco Infratech Limited,BSE
2533,544397,Ather Energy Limited,BSE
437,544416,Krishival Foods Limited,BSE
2839,544420,Raymond Realty Limited,BSE
2827,544455,GNG Electronics Limited,BSE
1719,544614,Capillary Technologies India Limited,BSE
2800,544632,Meesho Limited,BSE
2521,590031,De Nora India Limited,BSE
1299,APLAPOLLO,APL Apollo Tubes Limited,NSE
3106,ARVINDFASN,Arvind Fashions Limited,NSE
2838,AVANTEL,Avantel Limited,NSE
1662,BANSALWIRE,Bansal Wire Industries Limited,NSE
1221,BHARATSE,Bharat Seats Limited,NSE
3183,BLUECOAST,Blue Coast Hotels Limited,NSE
2842,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,NSE
133,DCW,PTC India Financial Services Limited,NSE
2304,E2E,E2E Networks Limited,NSE
2094,EIMCOELECO,Eimco Elecon (India) Limited,NSE
2452,ESAFSFB,ESAF Small Finance Bank,NSE
2452,ESAFSFB,MOIL LIMITED,NSE
3104,EXXARO,Exxaro Tiles Limited,NSE
1801,FINCABLES,Finolex Industries Limited,BSE
1531,GALLANTT,Gallantt Ispat Limited,NSE
840,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,NSE
1844,INDORAMA,Indo Rama Synthetics (India) Limited,BSE
1859,JINDALPOLY,Jindal Poly Films Limited,BSE
481,JINDALSTEL,Jindal Steel,NSE
2676,JPPOWER,Jaiprakash Power Ventures Limited,NSE
2471,KANPRPLA,KANPUR PLASTIPACK LTD,NSE
3205,KANSAINER,Kansai Nerolac Paints Limited,NSE
3105,KPIGREEN,KPI Green Energy Limited,NSE
2654,KPITTECH,KPIT Technologies Limited,NSE
3023,KRITI,KRITI INDUSTRIES (INDIA) LIMITED,NSE
3045,KRITINUT,KRITI NUTRIENTS LIMITED,NSE
1367,LLOYDSME,Lloyds Metals and Energy Limited,BSE
2801,MEESHO,Meesho Limited,NSE
2306,NAVKARCORP,Navkar Corporation Limited,NSE
62,NUVOCO,Nuvoco Vistas Corp. Ltd.,NSE
2493,OMAXAUTO,Omax Autos Limited,NSE
1548,PAUSHAKLTD,PAUSHAK LIMITED,NSE
2837,PCBL,PCBL Chemical Limited,NSE
1794,PFS,PTC India Financial Services Limited,NSE
2840,PICCADIL,Piccadily Agro Industries Limited,NSE
2305,PNBGILTS,PNB Gilts Limited,NSE
2808,QUESS,Quess Corp Limited,NSE
2843,RAYMONDREL,Raymond Realty Limited,NSE
1956,RSWM,RSWM Limited,NSE
2817,SCILAL,Shipping Corporation of India Land and Assets Limited,NSE
3194,SHANTIGEAR,Shanthi Gears Limited,NSE
1992,SHREECEM,Shree Cement,NSE
1992,SHREECEM,SHREE CEMENT LIMITED,NSE
684,SNOWMAN,Snowman Logistics Limited,NSE
3031,SPANDANA,Spandana Sphoorty Financial Limited,NSE
1697,SWARAJENG,Swaraj Engines Limited,NSE
3199,UNIECOM,Unicommerce Esolutions Limited,NSE
1249,ZENTEC,Zen Technologies Limited,NSE
