id,symbol,company_name,exchange,sector
3272,21STCENMGM,21st Century Management Services Limited,NSE,Capital Markets
3273,360ONE,360 ONE WAM LIMITED,NSE,Capital Markets
3274,3MINDIA,3M India Limited,NSE,Diversified
3275,500002,ABB India Ltd,BSE,Capital Goods
3276,500008,Amara Raja Energy & Mobility Ltd,BSE,Auto Ancillaries
3277,500020,Bombay Dyeing & Manufacturing Company Ltd,BSE,Textiles
3278,500023,Asian Hotels (North) Ltd,BSE,Hospitality / Leisure
3279,500031,Bajaj Electricals Ltd-$,BSE,Consumer Durables
3280,500032,Bajaj Hindusthan Sugar Ltd,BSE,FMCG
3281,500033,Force Motors Ltd-$,BSE,Automobiles
3282,500034,Bajaj Finance Ltd,BSE,NBFC & Financial Services
3283,500038,Balrampur Chini Mills Ltd,BSE,FMCG
3284,500040,Aditya Birla Real Estate Ltd,BSE,Paper
3285,500042,BASF India Ltd,BSE,Chemicals
3286,500049,Bharat Electronics Ltd,BSE,Defence
3287,500052,Bhansali Engineering Polymers Ltd-$,BSE,Chemicals
3288,500058,Bihar Sponge Iron Ltd,BSE,Metals
3289,500067,Blue Star Ltd,BSE,Consumer Durables
3290,500074,BPL Ltd,BSE,
3291,500078,Oriental Aromatics Ltd-$,BSE,Chemicals
3292,500083,Century Extrusions Ltd,BSE,
3293,500084,CESC Ltd,BSE,Power
3294,500085,Chambal Fertilisers & Chemicals Ltd,BSE,Chemicals
3295,500086,Exide Industries Ltd,BSE,Auto Ancillaries
3296,500087,Cipla Ltd,BSE,Pharma
3297,500089,DIC India Ltd,BSE,Chemicals
3298,500092,CRISIL Ltd,BSE,
3299,500093,CG Power and Industrial Solutions Ltd,BSE,Capital Goods
3300,500096,Dabur India Ltd,BSE,FMCG
3301,500097,Dalmia Bharat Sugar and Industries Ltd,BSE,FMCG
3302,500103,Bharat Heavy Electricals Ltd,BSE,Capital Goods
3303,500104,Hindustan Petroleum Corporation Ltd,BSE,Oil & Gas
3304,500108,Mahanagar Telephone Nigam Ltd,BSE,Telecom
3305,500109,Mangalore Refinery and Petrochemicals Ltd,BSE,Oil & Gas
3306,500110,Chennai Petroleum Corporation Ltd,BSE,Oil & Gas
3307,500112,State Bank of India,BSE,Banks
3308,500113,Steel Authority of India Ltd,BSE,Metals
3309,500114,Titan Company Ltd,BSE,Consumer Durables
3310,500117,DCW Ltd,BSE,Chemicals
3311,500119,Dhampur Sugar Mills Ltd,BSE,
3312,500123,Elantas Beck India Ltd-$,BSE,
3313,500124,Dr Reddys Laboratories Ltd,BSE,
3314,500125,EID Parry India Ltd,BSE,FMCG
3315,500135,EPL Ltd,BSE,Capital Goods
3316,500136,Ester Industries Ltd,BSE,Capital Goods
3317,500142,FGP Ltd,BSE,NBFC & Financial Services
3318,500143,PH Capital Ltd,BSE,NBFC & Financial Services
3319,500147,John Cockerill India Ltd-$,BSE,
3320,500148,Uflex Ltd,BSE,Capital Goods
3321,500150,Foseco India Ltd,BSE,Chemicals
3322,500163,Godfrey Phillips India Ltd,BSE,FMCG
3323,500164,Godrej Industries Ltd,BSE,Diversified
3324,500165,Kansai Nerolac Paints Ltd,BSE,Consumer Durables
3325,500166,Goodricke Group Ltd,BSE,FMCG
3326,500171,GHCL Ltd,BSE,Chemicals
3327,500178,Harig Crankshafts Ltd,BSE,Auto Ancillaries
3328,500179,HCL Infosystems Ltd,BSE,IT  Hardware
3329,500180,HDFC Bank Ltd,BSE,
3330,500182,Hero MotoCorp Ltd,BSE,Automobiles
3331,500183,HFCL Ltd,BSE,Telecom
3332,500184,Himadri Speciality Chemical Ltd,BSE,Chemicals
3333,500185,Hindustan Construction Company Ltd,BSE,
3334,500186,Hindustan Oil Exploration Company Ltd,BSE,Oil & Gas
3335,500187,Agi Greenpac Ltd,BSE,Capital Goods
3336,500188,Hindustan Zinc Ltd,BSE,Metals
3337,500192,Prag Bosimi Synthetics Ltd,BSE,
3338,500193,HLV Ltd,BSE,Hospitality / Leisure
3339,500201,India Glycols Ltd,BSE,FMCG
3340,500202,India Lease Development Ltd,BSE,NBFC & Financial Services
3341,500207,Indo Rama Synthetics (India) Ltd,BSE,Textiles
3342,500209,Infosys Ltd,BSE,IT  Software
3343,500213,International Travel House Ltd-$,BSE,Hospitality / Leisure
3344,500220,Jasch Industries Ltd,BSE,Textiles
3345,500228,JSW Steel Ltd,BSE,Metals
3346,500238,Whirlpool of India Ltd,BSE,
3347,500239,KG Denim Ltd,BSE,Textiles
3348,500240,Kinetic Engineering Ltd,BSE,
3349,500243,Kirloskar Industries Ltd,BSE,Capital Goods
3350,500245,Kirloskar Ferrous Industries Ltd,BSE,Metals
3351,500246,Envair Electrodyne Ltd,BSE,Capital Goods
3352,500247,Kotak Mahindra Bank Ltd,BSE,Banks
3353,500248,Krishna Filament Industries Ltd,BSE,Capital Goods
3354,500249,KSB Ltd,BSE,Capital Goods
3355,500250,LG Balakrishnan & Bros Ltd,BSE,Auto Ancillaries
3356,500251,Trent Ltd,BSE,Retail
3357,500252,LMW Ltd,BSE,Capital Goods
3358,500253,LIC Housing Finance Ltd,BSE,NBFC & Financial Services
3359,500257,Lupin Ltd,BSE,Pharma
3360,500260,The Ramco Cements Ltd,BSE,Cement & Mining
3361,500264,Mafatlal Industries Ltd-$,BSE,Textiles
3362,500266,Maharashtra Scooters Ltd,BSE,NBFC & Financial Services
3363,500268,Manali Petrochemicals Ltd,BSE,Chemicals
3364,500271,Max Financial Services Ltd,BSE,Insurance
3365,500277,Mid India Industries Ltd,BSE,Textiles
3366,500280,Century Enka Ltd,BSE,Textiles
3367,500282,Modern Thread India Ltd,BSE,Textiles
3368,500288,Morepen Laboratories Ltd,BSE,
3369,500294,NCC Ltd,BSE,Construction & Infra
3370,500295,Vedanta Ltd,BSE,Metals
3371,500298,Naperol Investments Ltd,BSE,NBFC & Financial Services
3372,500300,Grasim Industries Ltd,BSE,Cement & Mining
3373,500304,NIIT Ltd,BSE,Consumer Services
3374,500306,Jaykay Enterprises Ltd,BSE,Defence
3375,500307,Nirlon Ltd,BSE,Business Services
3376,500312,Oil and Natural Gas Corporation Ltd,BSE,Oil & Gas
3377,500314,Oriental Hotels Ltd,BSE,Hospitality / Leisure
3378,500317,Oswal Agro Mills Ltd,BSE,
3379,500319,Indian Sucrose Ltd,BSE,FMCG
3380,500322,Panyam Cements & Mineral Industries Ltd,BSE,
3381,500330,Raymond Ltd,BSE,Real Estate
3382,500331,Pidilite Industries Ltd,BSE,Chemicals
